Word,Type,Definition,Example,Level,Unit,Phonetic,Difficulty
abandon,verb,to leave a place or person permanently,He had to abandon his car in the snow.,1,1,/əˈbændən/,2
ability,noun,the skill or power to do something,She has the ability to learn languages quickly.,1,1,/əˈbɪlɪti/,1
absence,noun,the state of being away from somewhere,His absence from class worried the teacher.,1,1,/ˈæbsəns/,2
absorb,verb,to take in a substance through a surface,Plants absorb sunlight to make food.,1,1,/əbˈzɔːrb/,2
abstract,adjective,existing in thought but not as a physical object,Love is an abstract concept.,1,1,/ˈæbstrækt/,3
abundant,adjective,existing in large quantities,Fish are abundant in this river.,1,1,/əˈbʌndənt/,3
academic,adjective,relating to education or schools,She has a strong academic record.,1,1,/ˌækəˈdemɪk/,2
accomplish,verb,to succeed in doing something difficult,He accomplished his goal of running a marathon.,1,1,/əˈkɒmplɪʃ/,2
accurate,adjective,correct in all details,The report must be accurate and complete.,1,1,/ˈækjərɪt/,2
achieve,verb,to succeed in reaching a goal,You can achieve anything with hard work.,1,1,/əˈtʃiːv/,1
